NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Keiren Westwood,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Shay Given,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Darren Randolph,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
John O'Shea,Sunderland,Barclays PL,CB,75.0,68.0,66.0,74.0,73.0,69.0,75.0
Stephen Ward,Burnley,FL Championship,LB,71.0,77.0,66.0,74.0,76.0,48.0,65.0
S̩amus Coleman,Everton,Barclays PL,RB,81.0,79.0,79.0,80.0,84.0,57.0,78.0
Cyrus Christie,Derby County,FL Championship,RB,74.0,80.0,76.0,70.0,78.0,22.0,78.0
Ciaran Clark,Aston Villa,Barclays PL,CB,80.0,75.0,80.0,80.0,83.0,42.0,65.0
Shane Duffy,Blackburn Rvrs,FL Championship,CB,74.0,51.0,78.0,58.0,59.0,33.0,82.0
Richard Keogh,Derby County,FL Championship,CB,72.0,62.0,66.0,74.0,75.0,33.0,58.0
James McClean,West Brom,Barclays PL,LM,74.0,65.0,65.0,77.0,73.0,72.0,69.0
Stephen Quinn,Reading,FL Championship,CM,71.0,74.0,41.0,64.0,68.0,70.0,74.0
James McCarthy,Everton,Barclays PL,CDM,80.0,76.0,80.0,75.0,80.0,47.0,75.0
Aiden McGeady,Everton,Barclays PL,RM,76.0,65.0,69.0,76.0,79.0,45.0,51.0
Glenn Whelan,Stoke City,Barclays PL,CDM,76.0,82.0,74.0,74.0,83.0,31.0,61.0
David Meyler,Hull City,FL Championship,CM,71.0,71.0,46.0,59.0,61.0,72.0,76.0
Robbie Brady,Norwich City,Barclays PL,CM,74.0,65.0,57.0,56.0,70.0,80.0,86.0
Wes Hoolahan,Norwich City,Barclays PL,CAM,80.0,84.0,83.0,80.0,87.0,44.0,70.0
Jeff Hendrick,Derby County,FL Championship,CM,71.0,59.0,46.0,56.0,50.0,70.0,80.0
Robbie Keane,LA Galaxy,MLS,ST,81.0,83.0,51.0,63.0,66.0,86.0,75.0
Jonathan Walters,Stoke City,Barclays PL,RM,74.0,65.0,56.0,63.0,60.0,74.0,76.0
Daryl Murphy,Ipswich Town,FL Championship,ST,74.0,91.0,60.0,71.0,70.0,69.0,83.0
